Entrez	Symbol	Name	Length
150709	ANKAR	ankyrin and armadillo repeat containing	1879
84465	MEGF11	multiple EGF-like-domains 11	5728
11318	GPR182	G protein-coupled receptor 182	1571
80712	ESX1	ESX homeobox 1	1472
83656	C8orf12	chromosome 8 open reading frame 12	1296
147199	SCGB1C1	secretoglobin, family 1C, member 1	434
285126	DNAJC5G	DnaJ (Hsp40) homolog, subfamily C, member 5 gamma	1909
126248	WDR88	WD repeat domain 88	1731
158471	PRUNE2	prune homolog 2 (Drosophila)	4319
125997	MBD3L2	methyl-CpG binding domain protein 3-like 2	776
92949	ADAMTSL1	ADAMTS-like 1	3373
85509	MBD3L1	methyl-CpG binding domain protein 3-like 1	749
169966	FAM46D	family with sequence similarity 46, member D	3062.5
89778	SERPINB11	serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)	1562
118421	LINC00161	long intergenic non-protein coding RNA 161	693
259234	DSCR10	Down syndrome critical region gene 10 (non-protein coding)	861
83451	ABHD11	abhydrolase domain containing 11	1382.5
23527	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	4509
2593	GAMT	guanidinoacetate N-methyltransferase	1011
113026	PLCD3	phospholipase C, delta 3	3472
3664	IRF6	interferon regulatory factor 6	2020
5788	PTPRC	protein tyrosine phosphatase, receptor type, C	1549.5
10905	MAN1A2	mannosidase, alpha, class 1A, member 2	3727.5
65059	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	2783
140775	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8	8311
114294	LACTB	lactamase, beta	1638.5
646	BNC1	basonuclin 1	4613.5
58538	MPP4	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)	2330.5
246269	LACE1	lactation elevated 1	2266
91734	IDI2	isopentenyl-diphosphate delta isomerase 2	1364
1584	CYP11B1	cytochrome P450, family 11, subfamily B, polypeptide 1	3344
129685	TAF8	TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa	3077.5
23242	COBL	cordon-bleu WH2 repeat protein	5053.5
114836	SLAMF6	SLAM family member 6	2502
7579	ZSCAN20	zinc finger and SCAN domain containing 20	4205
151306	GPBAR1	G protein-coupled bile acid receptor 1	1497
54933	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)	1761.5
80144	FRAS1	Fraser syndrome 1	2221
84446	BRSK1	BR serine/threonine kinase 1	2998
286204	CRB2	crumbs homolog 2 (Drosophila)	4662
23704	KCNE4	potassium voltage-gated channel, Isk-related family, member 4	2961
146894	CD300LG	CD300 molecule-like family member g	1322.5
142680	SLC34A3	solute carrier family 34 (sodium phosphate), member 3	2064.5
57094	CPA6	carboxypeptidase A6	1588
164684	WBP2NL	WBP2 N-terminal like	1473
204851	HIPK1	homeodomain interacting protein kinase 1	6911
27085	MTBP	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa	1981
130399	ACVR1C	activin A receptor, type IC	8706
157753	TMEM74	transmembrane protein 74	1647
201798	TIGD4	tigger transposable element derived 4	2433
116969	ART5	ADP-ribosyltransferase 5	1337
196472	FAM71C	family with sequence similarity 71, member C	1794
84536	C21orf67	chromosome 21 open reading frame 67	1103
204801	NLRP11	NLR family, pyrin domain containing 11	3467
245973	ATP6V1C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2	3176.5
149461	CLDN19	claudin 19	3520
143187	VTI1A	vesicle transport through interaction with t-SNAREs 1A	2314
221458	KIF6	kinesin family member 6	3594
115811	IQCD	IQ motif containing D	1637
117289	TAGAP	T-cell activation RhoGTPase activating protein	3089.5
85439	STON2	stonin 2	2572.5
145264	SERPINA12	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12	2066
137994	LETM2	leucine zipper-EF-hand containing transmembrane protein 2	1729.5
7809	BSND	Bartter syndrome, infantile, with sensorineural deafness (Barttin)	1373
170482	CLEC4C	C-type lectin domain family 4, member C	1227
58484	NLRC4	NLR family, CARD domain containing 4	3354
146547	PRSS36	protease, serine, 36	2812
158866	ZDHHC15	zinc finger, DHHC-type containing 15	3719
10743	RAI1	retinoic acid induced 1	6665.5
65061	CDK15	cyclin-dependent kinase 15	1608.5
148268	ZNF570	zinc finger protein 570	2226
119369	NUDT9P1	nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1	1078
118663	BTBD16	BTB (POZ) domain containing 16	1865.5
83597	RTP3	receptor (chemosensory) transporter protein 3	819
54084	TSPEAR	thrombospondin-type laminin G domain and EAR repeats	4010.5
145282	MIPOL1	mirror-image polydactyly 1	2535
135398	C6orf141	chromosome 6 open reading frame 141	1767
200420	ALMS1P	Alstrom syndrome 1 pseudogene	1597
140469	MYO3B	myosin IIIB	4826
8747	ADAM21	ADAM metallopeptidase domain 21	2406
205860	TRIML2	tripartite motif family-like 2	1347
150000	ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene	2796.5
3594	IL12RB1	interleukin 12 receptor, beta 1	2155.5
11036	GTF2A1L	general transcription factor IIA, 1-like	1657
162514	TRPV3	transient receptor potential cation channel, subfamily V, member 3	3041
168975	CNBD1	cyclic nucleotide binding domain containing 1	1470
94160	ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	4835
118856	MMP21	matrix metallopeptidase 21	1920
147744	TMEM190	transmembrane protein 190	598
246176	GAS2L2	growth arrest-specific 2 like 2	3013
93107	KCNG4	potassium voltage-gated channel, subfamily G, member 4	1941.5
222659	PXT1	peroxisomal, testis specific 1	1456
27091	CACNG5	calcium channel, voltage-dependent, gamma subunit 5	998
259239	WFDC11	WAP four-disulfide core domain 11	619
3716	JAK1	Janus kinase 1	5062.5
56990	CDC42SE2	CDC42 small effector 2	3660
32	ACACB	acetyl-CoA carboxylase beta	5440
64326	RFWD2	ring finger and WD repeat domain 2, E3 ubiquitin protein ligase	2595
10228	STX6	syntaxin 6	4406.5
54443	ANLN	anillin, actin binding protein	4678.5
163778	SPRR4	small proline-rich protein 4	768
84941	HSH2D	hematopoietic SH2 domain containing	2369
51095	TRNT1	tRNA nucleotidyl transferase, CCA-adding, 1	1895
81615	TMEM163	transmembrane protein 163	1839
394	ARHGAP5	Rho GTPase activating protein 5	9533
64224	HERPUD2	HERPUD family member 2	2989.5
23210	JMJD6	jumonji domain containing 6	1826
10847	SRCAP	Snf2-related CREBBP activator protein	10519.5
9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6	4332
22901	ARSG	arylsulfatase G	1818
94039	ZNF101	zinc finger protein 101	1679
5781	PTPN11	protein tyrosine phosphatase, non-receptor type 11	4181
113730	KLHDC7B	kelch domain containing 7B	2991
199777	ZNF626	zinc finger protein 626	5867
80012	PHC3	polyhomeotic homolog 3 (Drosophila)	2392
3590	IL11RA	interleukin 11 receptor, alpha	1727
8797	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a	1718
89781	HPS4	Hermansky-Pudlak syndrome 4	4299
127933	UHMK1	U2AF homology motif (UHM) kinase 1	2818
84203	TXNDC2	thioredoxin domain containing 2 (spermatozoa)	1922
89795	NAV3	neuron navigator 3	8922.5
55322	C5orf22	chromosome 5 open reading frame 22	3045
56099	PCDHGB7	protocadherin gamma subfamily B, 7	3730
23085	ERC1	ELKS/RAB6-interacting/CAST family member 1	9229
201163	FLCN	folliculin	2528
84989	JMJD1C-AS1	JMJD1C antisense RNA 1	1333
57554	LRRC7	leucine rich repeat containing 7	4795.5
10044	SH2D3C	SH2 domain containing 3C	2678
79660	PPP1R3B	protein phosphatase 1, regulatory subunit 3B	5595
84679	SLC9A7	solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7	1636.5
3321	IGSF3	immunoglobulin superfamily, member 3	7204
222546	RFX6	regulatory factor X, 6	3508
116093	DIRC1	disrupted in renal carcinoma 1	1456
150353	DNAJB7	DnaJ (Hsp40) homolog, subfamily B, member 7	2577
114131	UCN3	urocortin 3	712
23181	DIP2A	DIP2 disco-interacting protein 2 homolog A (Drosophila)	3003
57646	USP28	ubiquitin specific peptidase 28	3960.5
57082	CASC5	cancer susceptibility candidate 5	6790
123228	SENP8	SUMO/sentrin specific peptidase family member 8	1440
29841	GRHL1	grainyhead-like 1 (Drosophila)	3671.5
140894	CNBD2	cyclic nucleotide binding domain containing 2	1780
57524	CASKIN1	CASK interacting protein 1	5715
93589	CACNA2D4	calcium channel, voltage-dependent, alpha 2/delta subunit 4	2571
115761	ARL11	ADP-ribosylation factor-like 11	3296
114134	SLC2A13	solute carrier family 2 (facilitated glucose transporter), member 13	2853
123606	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	6568
113691	TUBA3FP	tubulin, alpha 3f, pseudogene	1955
114769	CARD16	caspase recruitment domain family, member 16	730
142679	DUSP19	dual specificity phosphatase 19	5284
124637	CYB5D1	cytochrome b5 domain containing 1	2809.5
23057	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	5185
6521	SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	3458
200407	CREG2	cellular repressor of E1A-stimulated genes 2	3492
59350	RXFP1	relaxin/insulin-like family peptide receptor 1	2429
79925	SPEF2	sperm flagellar 2	4269
92675	DTD1	D-tyrosyl-tRNA deacylase 1	1371
113201	CASC4	cancer susceptibility candidate 4	2746
2246	FGF1	fibroblast growth factor 1 (acidic)	3822.5
10777	ARPP21	cAMP-regulated phosphoprotein, 21kDa	2463
158800	RHOXF1	Rhox homeobox family, member 1	758
170691	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17	1950
50846	DHH	desert hedgehog	1935
137735	ABRA	actin-binding Rho activating protein	2755
122773	KLHDC1	kelch domain containing 1	2634
253260	RICTOR	RPTOR independent companion of MTOR, complex 2	9455
81832	NETO1	neuropilin (NRP) and tolloid (TLL)-like 1	2352.5
11060	WWP2	WW domain containing E3 ubiquitin protein ligase 2	3963.5
54879	ST7L	suppression of tumorigenicity 7 like	3638
131096	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	3978.5
23263	MCF2L	MCF.2 cell line derived transforming sequence-like	5256
133482	SLCO6A1	solute carrier organic anion transporter family, member 6A1	2417.5
151649	PP2D1	protein phosphatase 2C-like domain containing 1	1479.5
147700	KLC3	kinesin light chain 3	1804.5
117286	CIB3	calcium and integrin binding family member 3	582
253559	CADM2	cell adhesion molecule 2	3866
157983	C9orf66	chromosome 9 open reading frame 66	2786
9734	HDAC9	histone deacetylase 9	4149
162515	SLC16A11	solute carrier family 16, member 11 (monocarboxylic acid transporter 11)	1807
91147	TMEM67	transmembrane protein 67	2054
90161	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	3746
84254	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	3508
90589	ZNF625	zinc finger protein 625	1558
147837	ZNF563	zinc finger protein 563	1867
286826	LIN9	lin-9 homolog (C. elegans)	3217.5
338339	CLEC4D	C-type lectin domain family 4, member D	1938
9481	SLC25A27	solute carrier family 25, member 27	2966
222545	GPRC6A	G protein-coupled receptor, family C, group 6, member A	2652
135250	RAET1E	retinoic acid early transcript 1E	909
204962	SLC44A5	solute carrier family 44, member 5	3918
147687	ZNF417	zinc finger protein 417	4705
163115	ZNF781	zinc finger protein 781	3209.5
92797	HELB	helicase (DNA) B	3415
7095	SEC62	SEC62 homolog (S. cerevisiae)	4000.5
10345	TRDN	triadin	2468.5
122809	SOCS4	suppressor of cytokine signaling 4	6948
286122	C8orf31	chromosome 8 open reading frame 31	1881
284306	ZNF547	zinc finger protein 547	1685
6492	SIM1	single-minded homolog 1 (Drosophila)	4423.5
150696	PROM2	prominin 2	3799
7099	TLR4	toll-like receptor 4	5652
203062	TSNARE1	t-SNARE domain containing 1	1879.5
92291	CAPN13	calpain 13	1955
3925	STMN1	stathmin 1	1623
89790	SIGLEC10	sialic acid binding Ig-like lectin 10	3353
5992	RFX4	regulatory factor X, 4 (influences HLA class II expression)	3379
117166	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1	3414.5
29843	SENP1	SUMO1/sentrin specific peptidase 1	4746
136259	KLF14	Kruppel-like factor 14	1384
158046	NXNL2	nucleoredoxin-like 2	1134.5
680	BRS3	bombesin-like receptor 3	1416
54495	TMX3	thioredoxin-related transmembrane protein 3	2856
252884	ZNF396	zinc finger protein 396	2793
115111	SLC26A7	solute carrier family 26, member 7	5222
112574	SNX18	sorting nexin 18	5220
162517	FBXO39	F-box protein 39	1515.5
192134	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)	2495
163486	DENND1B	DENN/MADD domain containing 1B	2512
285267	ZNF619	zinc finger protein 619	2457.5
22858	ICK	intestinal cell (MAK-like) kinase	6141
161142	FAM71D	family with sequence similarity 71, member D	1650
79370	BCL2L14	BCL2-like 14 (apoptosis facilitator)	1891
266722	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	7801
10861	SLC26A1	solute carrier family 26 (sulfate transporter), member 1	3446
24146	CLDN15	claudin 15	1263
115273	RAB42	RAB42, member RAS oncogene family	1098
139411	PTCHD1	patched domain containing 1	3748.5
130951	M1AP	meiosis 1 associated protein	1697
201516	ZSCAN4	zinc finger and SCAN domain containing 4	2250
127731	VWA5B1	von Willebrand factor A domain containing 5B1	3758
3362	HTR6	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	1986
158809	MAGEB6	melanoma antigen family B, 6	1876.5
284618	RUSC1-AS1	RUSC1 antisense RNA 1	1573.5
59285	CACNG6	calcium channel, voltage-dependent, gamma subunit 6	1713
160492	IFLTD1	intermediate filament tail domain containing 1	1766
148046	CIRBP-AS1	CIRBP antisense RNA 1	1357
126859	AXDND1	axonemal dynein light chain domain containing 1	2581
80161	ASMTL-AS1	ASMTL antisense RNA 1	2058
131450	CD200R1	CD200 receptor 1	1986
220202	ATOH7	atonal homolog 7 (Drosophila)	1471
89866	SEC16B	SEC16 homolog B (S. cerevisiae)	4921
139285	AMER1	APC membrane recruitment protein 1	8444
157848	NKX6-3	NK6 homeobox 3	561.5
219793	TBATA	thymus, brain and testes associated	1524.5
90332	EXOC3L2	exocyst complex component 3-like 2	1729
57010	CABP4	calcium binding protein 4	1442.5
115650	TNFRSF13C	tumor necrosis factor receptor superfamily, member 13C	938.5
94032	CAMK2N2	calcium/calmodulin-dependent protein kinase II inhibitor 2	1362
149992	ANKRD30BP2	ankyrin repeat domain 30B pseudogene 2	3635.5
170850	KCNG3	potassium voltage-gated channel, subfamily G, member 3	3807.5
154089	MGC34034	uncharacterized protein MGC34034	3520
93986	FOXP2	forkhead box P2	2625.5
124872	B4GALNT2	beta-1,4-N-acetyl-galactosaminyl transferase 2	1830
158521	FMR1NB	fragile X mental retardation 1 neighbor	1020
148823	GCSAML	germinal center-associated, signaling and motility-like	2804
114132	SIGLEC11	sialic acid binding Ig-like lectin 11	3029.5
149233	IL23R	interleukin 23 receptor	2115
286514	MAGEB18	melanoma antigen family B, 18	1811
80381	CD276	CD276 molecule	2782
282616	IFNL2	interferon, lambda 2	740
282618	IFNL1	interferon, lambda 1	860
132989	C4orf36	chromosome 4 open reading frame 36	912
63979	FIGNL1	fidgetin-like 1	3526
22999	RIMS1	regulating synaptic membrane exocytosis 1	4454.5
57605	PITPNM2	phosphatidylinositol transfer protein, membrane-associated 2	6821
57575	PCDH10	protocadherin 10	4652.5
257397	TAB3	TGF-beta activated kinase 1/MAP3K7 binding protein 3	6682
131890	GRK7	G protein-coupled receptor kinase 7	1748
79258	MMEL1	membrane metallo-endopeptidase-like 1	2851.5
5151	PDE8A	phosphodiesterase 8A	3857
171389	NLRP6	NLR family, pyrin domain containing 6	2684.5
254268	AKNAD1	AKNA domain containing 1	2900
203430	ZCCHC5	zinc finger, CCHC domain containing 5	2650
84126	ATRIP	ATR interacting protein	3094
85416	ZIC5	Zic family member 5	4599
284	ANGPT1	angiopoietin 1	3949.5
127670	TEDDM1	transmembrane epididymal protein 1	2499
2565	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	6775
56666	PANX2	pannexin 2	3022
163071	ZNF114	zinc finger protein 114	2424
148870	CCDC27	coiled-coil domain containing 27	2186
161502	C15orf26	chromosome 15 open reading frame 26	1201.5
159162	RBMY2FP	RNA binding motif protein, Y-linked, family 2, member F pseudogene	2044
4761	NEUROD2	neuronal differentiation 2	3033
1768	DNAH6	dynein, axonemal, heavy chain 6	2086
131578	LRRC15	leucine rich repeat containing 15	5913
93010	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	3625
158506	ZNF645	zinc finger protein 645	1516
9204	ZMYM6	zinc finger, MYM-type 6	2741
137868	SGCZ	sarcoglycan, zeta	1783.5
7484	WNT9B	wingless-type MMTV integration site family, member 9B	2055.5
374407	DNAJB13	DnaJ (Hsp40) homolog, subfamily B, member 13	1882
10695	CNPY3	canopy 3 homolog (zebrafish)	1645
9522	SCAMP1	secretory carrier membrane protein 1	6051.5
151477	LINC00471	long intergenic non-protein coding RNA 471	1285
3038	HAS3	hyaluronan synthase 3	2691.5
2249	FGF4	fibroblast growth factor 4	1170.5
169026	SLC30A8	solute carrier family 30 (zinc transporter), member 8	5410
160140	C11orf65	chromosome 11 open reading frame 65	1270
284418	FAM71E2	family with sequence similarity 71, member E2	3186.5
120065	OR5P2	olfactory receptor, family 5, subfamily P, member 2	970
143241	DYDC1	DPY30 domain containing 1	3035
246778	IL27	interleukin 27	1048
132141	IQCF1	IQ motif containing F1	2074
245938	DEFB125	defensin, beta 125	710
280664	WFDC10B	WAP four-disulfide core domain 10B	557
5314	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	11664
168507	PKD1L1	polycystic kidney disease 1 like 1	5180.5
139378	GPR112	G protein-coupled receptor 112	9198
10178	TENM1	teneurin transmembrane protein 1	12921
254958	REXO1L1	REX1, RNA exonuclease 1 homolog (S. cerevisiae)-like 1	7129
138474	TAF1L	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like	6217
129684	CNTNAP5	contactin associated protein-like 5	5306.5
9401	RECQL4	RecQ protein-like 4	3823
165082	GPR113	G protein-coupled receptor 113	3866
117532	TMC2	transmembrane channel-like 2	2821.5
140771	SMCR5	Smith-Magenis syndrome chromosome region, candidate 5 (non-protein coding)	2845
23299	BICD2	bicaudal D homolog 2 (Drosophila)	5528
114026	ZIM3	zinc finger, imprinted 3	2632
79400	NOX5	NADPH oxidase, EF-hand calcium binding domain 5	2462.5
57211	GPR126	G protein-coupled receptor 126	6876.5
56062	KLHL4	kelch-like family member 4	4212
165829	GPR156	G protein-coupled receptor 156	2827
6821	SUOX	sulfite oxidase	2339
221393	GPR115	G protein-coupled receptor 115	3084
133396	IL31RA	interleukin 31 receptor A	2432
94122	SYTL5	synaptotagmin-like 5	4742
10806	SDCCAG8	serologically defined colon cancer antigen 8	2135
222611	GPR111	G protein-coupled receptor 111	2250
6854	SYN2	synapsin II	3322
136371	ASB10	ankyrin repeat and SOCS box containing 10	1825
170572	HTR3C	5-hydroxytryptamine (serotonin) receptor 3C, ionotropic	1706
84807	NFKBID	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta	1846
146722	CD300LF	CD300 molecule-like family member f	1793
84694	GJA10	gap junction protein, alpha 10, 62kDa	1631
7483	WNT9A	wingless-type MMTV integration site family, member 9A	1244
64090	GAL3ST2	galactose-3-O-sulfotransferase 2	1453
8396	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	2222
113746	ODF3	outer dense fiber of sperm tails 3	1289
164237	WFDC13	WAP four-disulfide core domain 13	1374
256369	LINC00521	long intergenic non-protein coding RNA 521	1882
162394	SLFN5	schlafen family member 5	3923
89777	SERPINB12	serpin peptidase inhibitor, clade B (ovalbumin), member 12	1253
126326	GIPC3	GIPC PDZ domain containing family, member 3	4322
114771	PGLYRP3	peptidoglycan recognition protein 3	1180
85481	PSKH2	protein serine kinase H2	1159
89883	OR6W1P	olfactory receptor, family 6, subfamily W, member 1 pseudogene	1503
116255	MOGAT1	monoacylglycerol O-acyltransferase 1	1037.5
27201	GPR78	G protein-coupled receptor 78	1942
132243	H1FOO	H1 histone family, member O, oocyte-specific	924.5
134860	TAAR9	trace amine associated receptor 9 (gene/pseudogene)	1046
114814	GNRHR2	gonadotropin-releasing hormone (type 2) receptor 2	1192
91977	MYOZ3	myozenin 3	3664
149428	BNIPL	BCL2/adenovirus E1B 19kD interacting protein like	2170
140456	ASB11	ankyrin repeat and SOCS box containing 11	978
121214	SDR9C7	short chain dehydrogenase/reductase family 9C, member 7	944
120066	OR5P3	olfactory receptor, family 5, subfamily P, member 3	936
135644	TRIM40	tripartite motif containing 40	1922
286828	CSN1S2AP	casein alpha s2-like A, pseudogene	739
128488	WFDC12	WAP four-disulfide core domain 12	777
155051	CRYGN	crystallin, gamma N	731
147323	STARD6	StAR-related lipid transfer (START) domain containing 6	668
143501	C11orf40	chromosome 11 open reading frame 40	657
10018	BCL2L11	BCL2-like 11 (apoptosis facilitator)	4683
245932	DEFB119	defensin, beta 119	458
200765	TIGD1	tigger transposable element derived 1	2449
54890	ALKBH5	alkB, alkylation repair homolog 5 (E. coli)	2782
26112	CCDC69	coiled-coil domain containing 69	3330
4799	NFX1	nuclear transcription factor, X-box binding 1	3392
1829	DSG2	desmoglein 2	5667
134553	C5orf24	chromosome 5 open reading frame 24	4897
89890	KBTBD6	kelch repeat and BTB (POZ) domain containing 6	2274
1024	CDK8	cyclin-dependent kinase 8	1779
5753	PTK6	protein tyrosine kinase 6	2450.5
85407	NKD1	naked cuticle homolog 1 (Drosophila)	2596
11329	STK38	serine/threonine kinase 38	3585
117145	THEM4	thioesterase superfamily member 4	2328.5
63967	CLSPN	claspin	4305.5
284403	WDR62	WD repeat domain 62	3902.5
221074	SLC39A12	solute carrier family 39 (zinc transporter), member 12	2763.5
165918	RNF168	ring finger protein 168, E3 ubiquitin protein ligase	2282
79987	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	6069
652276	LOC652276	potassium channel tetramerisation domain containing 5 pseudogene	3413
2626	GATA4	GATA binding protein 4	2621
123036	TC2N	tandem C2 domains, nuclear	4921
